Profile,nsr,Iteration,Method,Metric,Score,Data_true_profile,Data_method_profile
random,0.01,0.0,Indirect,MSE,0.1837528909857067,"[0.60236959 0.68746706 0.41964998 0.64422584 0.34499386 0.40949224
 0.32381602 0.6244321  0.60869394 0.35107777 0.33408119 0.45594188
 1.         0.76759391 0.44198096 0.         0.72283773 0.32720761
 0.59748034 0.6351968  0.54697425 0.61394434 0.50095874 0.4088086
 0.63392868 0.60401658 0.77053489 0.45293939 0.53312033 0.09209996
 0.73235688 0.38856646 0.48715703 0.882011   0.34606039 0.19880279
 0.55727809 0.44808318 0.37852706 0.37323324 0.44949992 0.47769383
 0.65380533 0.39425083 0.53228828 0.52874152 0.5469884  0.48830206
 0.52105408 0.72957622 0.99486385 0.21934524 0.72662084 0.59584499
 0.59174669 0.7453256  0.61455946 0.46717509 0.2406798  0.39802737
 0.73557476 0.44007094 0.01181649 0.58034246 0.24465258 0.43845331
 0.50362762 0.50971594 0.42456923 0.22504287 0.32774032 0.09000311
 0.44185537 0.47196883 0.75140674 0.37478638 0.15786666 0.64068928
 0.70727233 0.66480682 0.79451909 0.40042543 0.22145055 0.75540706
 0.35295321 0.27541867 0.55825679 0.52592423 0.51370262 0.30833873
 0.78566069 0.69040184 0.71349113 0.25030381 0.53846454 0.57952994
 0.40182975 0.43462307 0.39939759 0.69082495]","[0.03863937 0.0710349  0.09852553 0.12111128 0.13879213 0.1515681
 0.15345647 0.1522466  0.15153446 0.15146319 0.15040293 0.14691677
 0.14214667 0.13667631 0.13225084 0.12909632 0.12813981 0.12848913
 0.13061634 0.13302989 0.1352989  0.13721555 0.13846868 0.13788915
 0.13516321 0.13085084 0.12619461 0.12193429 0.11870297 0.11672656
 0.11601366 0.11613316 0.11601657 0.11676575 0.11645026 0.11583903
 0.11531852 0.11487632 0.11398611 0.11330813 0.11142844 0.10952902
 0.10701247 0.10510144 0.1032752  0.10220233 0.1035496  0.10719163
 0.11171557 0.11604091 0.11909357 0.12068495 0.12215474 0.12282039
 0.12433619 0.12427392 0.1243867  0.12571486 0.12736748 0.12811849
 0.12854601 0.12734173 0.12582437 0.12299685 0.1186523  0.11326565
 0.10566856 0.09967709 0.09512316 0.09312404 0.09283984 0.09457915
 0.09683721 0.10108856 0.1048705  0.10681302 0.10853663 0.1088146
 0.11066556 0.11345448 0.11609609 0.11998994 0.12175982 0.1192306
 0.1161551  0.11155175 0.1041305  0.09649497 0.09226766 0.09157464
 0.09497013 0.10189862 0.10940395 0.11629146 0.12356363 0.13175145
 0.14085492 0.15087406 0.16180885]"
random,0.01,0.0,Direct,MSE,0.038690263048276184,"[0.60236959 0.68746706 0.41964998 0.64422584 0.34499386 0.40949224
 0.32381602 0.6244321  0.60869394 0.35107777 0.33408119 0.45594188
 1.         0.76759391 0.44198096 0.         0.72283773 0.32720761
 0.59748034 0.6351968  0.54697425 0.61394434 0.50095874 0.4088086
 0.63392868 0.60401658 0.77053489 0.45293939 0.53312033 0.09209996
 0.73235688 0.38856646 0.48715703 0.882011   0.34606039 0.19880279
 0.55727809 0.44808318 0.37852706 0.37323324 0.44949992 0.47769383
 0.65380533 0.39425083 0.53228828 0.52874152 0.5469884  0.48830206
 0.52105408 0.72957622 0.99486385 0.21934524 0.72662084 0.59584499
 0.59174669 0.7453256  0.61455946 0.46717509 0.2406798  0.39802737
 0.73557476 0.44007094 0.01181649 0.58034246 0.24465258 0.43845331
 0.50362762 0.50971594 0.42456923 0.22504287 0.32774032 0.09000311
 0.44185537 0.47196883 0.75140674 0.37478638 0.15786666 0.64068928
 0.70727233 0.66480682 0.79451909 0.40042543 0.22145055 0.75540706
 0.35295321 0.27541867 0.55825679 0.52592423 0.51370262 0.30833873
 0.78566069 0.69040184 0.71349113 0.25030381 0.53846454 0.57952994
 0.40182975 0.43462307 0.39939759 0.69082495]","[0.47719529 0.47719695 0.47720053 0.47720619 0.47721426 0.47722533
 0.4772401  0.4772595  0.47728458 0.47731634 0.47735645 0.47740682
 0.47746822 0.47754172 0.47762829 0.47772941 0.47785089 0.47799177
 0.47814637 0.47830766 0.4784598  0.47859175 0.47868467 0.47871888
 0.4787015  0.47866127 0.47868034 0.47880537 0.47907323 0.47944865
 0.47989419 0.48041593 0.48101239 0.48167435 0.48239404 0.48317054
 0.48403166 0.48493191 0.48548424 0.48561396 0.48545097 0.48503046
 0.48445363 0.48383744 0.48320616 0.48247557 0.48183205 0.48141272
 0.48114584 0.480953   0.48051999 0.47990311 0.47936582 0.47915591
 0.47964062 0.48042161 0.48128739 0.48199265 0.48198765 0.48128069
 0.47977748 0.47802752 0.47706585 0.47710718 0.47736784 0.47693618
 0.47583228 0.47390471 0.4715527  0.46894353 0.46592749 0.46312744
 0.46103516 0.45924123 0.45727703 0.45493169 0.4529339  0.45146102
 0.45032703 0.44990264 0.45017451 0.45166164 0.45385414 0.45712912
 0.46070958 0.46472952 0.46818374 0.4717655  0.47544034 0.47979258
 0.48517186 0.49152504 0.4985433  0.50587469 0.51238192 0.51833356
 0.52366152 0.52727875 0.52862606]"
random,0.01,0.0,Gaussian,MSE,0.04240924964371261,"[0.60236959 0.68746706 0.41964998 0.64422584 0.34499386 0.40949224
 0.32381602 0.6244321  0.60869394 0.35107777 0.33408119 0.45594188
 1.         0.76759391 0.44198096 0.         0.72283773 0.32720761
 0.59748034 0.6351968  0.54697425 0.61394434 0.50095874 0.4088086
 0.63392868 0.60401658 0.77053489 0.45293939 0.53312033 0.09209996
 0.73235688 0.38856646 0.48715703 0.882011   0.34606039 0.19880279
 0.55727809 0.44808318 0.37852706 0.37323324 0.44949992 0.47769383
 0.65380533 0.39425083 0.53228828 0.52874152 0.5469884  0.48830206
 0.52105408 0.72957622 0.99486385 0.21934524 0.72662084 0.59584499
 0.59174669 0.7453256  0.61455946 0.46717509 0.2406798  0.39802737
 0.73557476 0.44007094 0.01181649 0.58034246 0.24465258 0.43845331
 0.50362762 0.50971594 0.42456923 0.22504287 0.32774032 0.09000311
 0.44185537 0.47196883 0.75140674 0.37478638 0.15786666 0.64068928
 0.70727233 0.66480682 0.79451909 0.40042543 0.22145055 0.75540706
 0.35295321 0.27541867 0.55825679 0.52592423 0.51370262 0.30833873
 0.78566069 0.69040184 0.71349113 0.25030381 0.53846454 0.57952994
 0.40182975 0.43462307 0.39939759 0.69082495]","[0.55136168 0.57142311 0.5790504  0.57922551 0.57760403 0.57877496
 0.58487459 0.59503773 0.60589346 0.61295102 0.61240255 0.60271109
 0.585415   0.5648488  0.54685983 0.53695403 0.53850332 0.55161979
 0.5730619  0.59717716 0.61753877 0.62872471 0.62768387 0.61432059
 0.59122042 0.56271871 0.53368059 0.5083746  0.48970885 0.47892638
 0.47570307 0.47850515 0.48505419 0.49278874 0.49926679 0.50249085
 0.50114959 0.49476542 0.48373505 0.46925799 0.45316548 0.43767565
 0.4251028  0.41754078 0.41653601 0.42277682 0.43585352 0.45417237
 0.47511085 0.49545975 0.5121094  0.5228287  0.52690375 0.52539526
 0.52086319 0.51657584 0.51541168 0.51880117 0.52608085 0.53452096
 0.5400707  0.5386144  0.52733942 0.50575888 0.47603724 0.44250215
 0.41050538 0.38501464 0.36939532 0.36475297 0.36999374 0.38250615
 0.39916772 0.41730006 0.43525309 0.45246138 0.46901803 0.48498363
 0.49973485 0.51163618 0.51819961 0.51672043 0.50520096 0.48325875
 0.45270527 0.4175816  0.38361291 0.3572243  0.34437571 0.34948595
 0.37463713 0.4191377  0.47943775 0.54937041 0.62072158 0.68415201
 0.73045589 0.75202339 0.74422996 0.7358525 ]"
random,0.01,0.0,Indirect,MAE,0.3869182142069563,"[0.60236959 0.68746706 0.41964998 0.64422584 0.34499386 0.40949224
 0.32381602 0.6244321  0.60869394 0.35107777 0.33408119 0.45594188
 1.         0.76759391 0.44198096 0.         0.72283773 0.32720761
 0.59748034 0.6351968  0.54697425 0.61394434 0.50095874 0.4088086
 0.63392868 0.60401658 0.77053489 0.45293939 0.53312033 0.09209996
 0.73235688 0.38856646 0.48715703 0.882011   0.34606039 0.19880279
 0.55727809 0.44808318 0.37852706 0.37323324 0.44949992 0.47769383
 0.65380533 0.39425083 0.53228828 0.52874152 0.5469884  0.48830206
 0.52105408 0.72957622 0.99486385 0.21934524 0.72662084 0.59584499
 0.59174669 0.7453256  0.61455946 0.46717509 0.2406798  0.39802737
 0.73557476 0.44007094 0.01181649 0.58034246 0.24465258 0.43845331
 0.50362762 0.50971594 0.42456923 0.22504287 0.32774032 0.09000311
 0.44185537 0.47196883 0.75140674 0.37478638 0.15786666 0.64068928
 0.70727233 0.66480682 0.79451909 0.40042543 0.22145055 0.75540706
 0.35295321 0.27541867 0.55825679 0.52592423 0.51370262 0.30833873
 0.78566069 0.69040184 0.71349113 0.25030381 0.53846454 0.57952994
 0.40182975 0.43462307 0.39939759 0.69082495]","[0.03863937 0.0710349  0.09852553 0.12111128 0.13879213 0.1515681
 0.15345647 0.1522466  0.15153446 0.15146319 0.15040293 0.14691677
 0.14214667 0.13667631 0.13225084 0.12909632 0.12813981 0.12848913
 0.13061634 0.13302989 0.1352989  0.13721555 0.13846868 0.13788915
 0.13516321 0.13085084 0.12619461 0.12193429 0.11870297 0.11672656
 0.11601366 0.11613316 0.11601657 0.11676575 0.11645026 0.11583903
 0.11531852 0.11487632 0.11398611 0.11330813 0.11142844 0.10952902
 0.10701247 0.10510144 0.1032752  0.10220233 0.1035496  0.10719163
 0.11171557 0.11604091 0.11909357 0.12068495 0.12215474 0.12282039
 0.12433619 0.12427392 0.1243867  0.12571486 0.12736748 0.12811849
 0.12854601 0.12734173 0.12582437 0.12299685 0.1186523  0.11326565
 0.10566856 0.09967709 0.09512316 0.09312404 0.09283984 0.09457915
 0.09683721 0.10108856 0.1048705  0.10681302 0.10853663 0.1088146
 0.11066556 0.11345448 0.11609609 0.11998994 0.12175982 0.1192306
 0.1161551  0.11155175 0.1041305  0.09649497 0.09226766 0.09157464
 0.09497013 0.10189862 0.10940395 0.11629146 0.12356363 0.13175145
 0.14085492 0.15087406 0.16180885]"
random,0.01,0.0,Direct,MAE,0.15616667142839455,"[0.60236959 0.68746706 0.41964998 0.64422584 0.34499386 0.40949224
 0.32381602 0.6244321  0.60869394 0.35107777 0.33408119 0.45594188
 1.         0.76759391 0.44198096 0.         0.72283773 0.32720761
 0.59748034 0.6351968  0.54697425 0.61394434 0.50095874 0.4088086
 0.63392868 0.60401658 0.77053489 0.45293939 0.53312033 0.09209996
 0.73235688 0.38856646 0.48715703 0.882011   0.34606039 0.19880279
 0.55727809 0.44808318 0.37852706 0.37323324 0.44949992 0.47769383
 0.65380533 0.39425083 0.53228828 0.52874152 0.5469884  0.48830206
 0.52105408 0.72957622 0.99486385 0.21934524 0.72662084 0.59584499
 0.59174669 0.7453256  0.61455946 0.46717509 0.2406798  0.39802737
 0.73557476 0.44007094 0.01181649 0.58034246 0.24465258 0.43845331
 0.50362762 0.50971594 0.42456923 0.22504287 0.32774032 0.09000311
 0.44185537 0.47196883 0.75140674 0.37478638 0.15786666 0.64068928
 0.70727233 0.66480682 0.79451909 0.40042543 0.22145055 0.75540706
 0.35295321 0.27541867 0.55825679 0.52592423 0.51370262 0.30833873
 0.78566069 0.69040184 0.71349113 0.25030381 0.53846454 0.57952994
 0.40182975 0.43462307 0.39939759 0.69082495]","[0.47719529 0.47719695 0.47720053 0.47720619 0.47721426 0.47722533
 0.4772401  0.4772595  0.47728458 0.47731634 0.47735645 0.47740682
 0.47746822 0.47754172 0.47762829 0.47772941 0.47785089 0.47799177
 0.47814637 0.47830766 0.4784598  0.47859175 0.47868467 0.47871888
 0.4787015  0.47866127 0.47868034 0.47880537 0.47907323 0.47944865
 0.47989419 0.48041593 0.48101239 0.48167435 0.48239404 0.48317054
 0.48403166 0.48493191 0.48548424 0.48561396 0.48545097 0.48503046
 0.48445363 0.48383744 0.48320616 0.48247557 0.48183205 0.48141272
 0.48114584 0.480953   0.48051999 0.47990311 0.47936582 0.47915591
 0.47964062 0.48042161 0.48128739 0.48199265 0.48198765 0.48128069
 0.47977748 0.47802752 0.47706585 0.47710718 0.47736784 0.47693618
 0.47583228 0.47390471 0.4715527  0.46894353 0.46592749 0.46312744
 0.46103516 0.45924123 0.45727703 0.45493169 0.4529339  0.45146102
 0.45032703 0.44990264 0.45017451 0.45166164 0.45385414 0.45712912
 0.46070958 0.46472952 0.46818374 0.4717655  0.47544034 0.47979258
 0.48517186 0.49152504 0.4985433  0.50587469 0.51238192 0.51833356
 0.52366152 0.52727875 0.52862606]"
random,0.01,0.0,Gaussian,MAE,0.1658133197638209,"[0.60236959 0.68746706 0.41964998 0.64422584 0.34499386 0.40949224
 0.32381602 0.6244321  0.60869394 0.35107777 0.33408119 0.45594188
 1.         0.76759391 0.44198096 0.         0.72283773 0.32720761
 0.59748034 0.6351968  0.54697425 0.61394434 0.50095874 0.4088086
 0.63392868 0.60401658 0.77053489 0.45293939 0.53312033 0.09209996
 0.73235688 0.38856646 0.48715703 0.882011   0.34606039 0.19880279
 0.55727809 0.44808318 0.37852706 0.37323324 0.44949992 0.47769383
 0.65380533 0.39425083 0.53228828 0.52874152 0.5469884  0.48830206
 0.52105408 0.72957622 0.99486385 0.21934524 0.72662084 0.59584499
 0.59174669 0.7453256  0.61455946 0.46717509 0.2406798  0.39802737
 0.73557476 0.44007094 0.01181649 0.58034246 0.24465258 0.43845331
 0.50362762 0.50971594 0.42456923 0.22504287 0.32774032 0.09000311
 0.44185537 0.47196883 0.75140674 0.37478638 0.15786666 0.64068928
 0.70727233 0.66480682 0.79451909 0.40042543 0.22145055 0.75540706
 0.35295321 0.27541867 0.55825679 0.52592423 0.51370262 0.30833873
 0.78566069 0.69040184 0.71349113 0.25030381 0.53846454 0.57952994
 0.40182975 0.43462307 0.39939759 0.69082495]","[0.55136168 0.57142311 0.5790504  0.57922551 0.57760403 0.57877496
 0.58487459 0.59503773 0.60589346 0.61295102 0.61240255 0.60271109
 0.585415   0.5648488  0.54685983 0.53695403 0.53850332 0.55161979
 0.5730619  0.59717716 0.61753877 0.62872471 0.62768387 0.61432059
 0.59122042 0.56271871 0.53368059 0.5083746  0.48970885 0.47892638
 0.47570307 0.47850515 0.48505419 0.49278874 0.49926679 0.50249085
 0.50114959 0.49476542 0.48373505 0.46925799 0.45316548 0.43767565
 0.4251028  0.41754078 0.41653601 0.42277682 0.43585352 0.45417237
 0.47511085 0.49545975 0.5121094  0.5228287  0.52690375 0.52539526
 0.52086319 0.51657584 0.51541168 0.51880117 0.52608085 0.53452096
 0.5400707  0.5386144  0.52733942 0.50575888 0.47603724 0.44250215
 0.41050538 0.38501464 0.36939532 0.36475297 0.36999374 0.38250615
 0.39916772 0.41730006 0.43525309 0.45246138 0.46901803 0.48498363
 0.49973485 0.51163618 0.51819961 0.51672043 0.50520096 0.48325875
 0.45270527 0.4175816  0.38361291 0.3572243  0.34437571 0.34948595
 0.37463713 0.4191377  0.47943775 0.54937041 0.62072158 0.68415201
 0.73045589 0.75202339 0.74422996 0.7358525 ]"
random,0.01,0.0,Indirect,MPD,0.7785525872829817,"[0.60236959 0.68746706 0.41964998 0.64422584 0.34499386 0.40949224
 0.32381602 0.6244321  0.60869394 0.35107777 0.33408119 0.45594188
 1.         0.76759391 0.44198096 0.         0.72283773 0.32720761
 0.59748034 0.6351968  0.54697425 0.61394434 0.50095874 0.4088086
 0.63392868 0.60401658 0.77053489 0.45293939 0.53312033 0.09209996
 0.73235688 0.38856646 0.48715703 0.882011   0.34606039 0.19880279
 0.55727809 0.44808318 0.37852706 0.37323324 0.44949992 0.47769383
 0.65380533 0.39425083 0.53228828 0.52874152 0.5469884  0.48830206
 0.52105408 0.72957622 0.99486385 0.21934524 0.72662084 0.59584499
 0.59174669 0.7453256  0.61455946 0.46717509 0.2406798  0.39802737
 0.73557476 0.44007094 0.01181649 0.58034246 0.24465258 0.43845331
 0.50362762 0.50971594 0.42456923 0.22504287 0.32774032 0.09000311
 0.44185537 0.47196883 0.75140674 0.37478638 0.15786666 0.64068928
 0.70727233 0.66480682 0.79451909 0.40042543 0.22145055 0.75540706
 0.35295321 0.27541867 0.55825679 0.52592423 0.51370262 0.30833873
 0.78566069 0.69040184 0.71349113 0.25030381 0.53846454 0.57952994
 0.40182975 0.43462307 0.39939759 0.69082495]","[0.03863937 0.0710349  0.09852553 0.12111128 0.13879213 0.1515681
 0.15345647 0.1522466  0.15153446 0.15146319 0.15040293 0.14691677
 0.14214667 0.13667631 0.13225084 0.12909632 0.12813981 0.12848913
 0.13061634 0.13302989 0.1352989  0.13721555 0.13846868 0.13788915
 0.13516321 0.13085084 0.12619461 0.12193429 0.11870297 0.11672656
 0.11601366 0.11613316 0.11601657 0.11676575 0.11645026 0.11583903
 0.11531852 0.11487632 0.11398611 0.11330813 0.11142844 0.10952902
 0.10701247 0.10510144 0.1032752  0.10220233 0.1035496  0.10719163
 0.11171557 0.11604091 0.11909357 0.12068495 0.12215474 0.12282039
 0.12433619 0.12427392 0.1243867  0.12571486 0.12736748 0.12811849
 0.12854601 0.12734173 0.12582437 0.12299685 0.1186523  0.11326565
 0.10566856 0.09967709 0.09512316 0.09312404 0.09283984 0.09457915
 0.09683721 0.10108856 0.1048705  0.10681302 0.10853663 0.1088146
 0.11066556 0.11345448 0.11609609 0.11998994 0.12175982 0.1192306
 0.1161551  0.11155175 0.1041305  0.09649497 0.09226766 0.09157464
 0.09497013 0.10189862 0.10940395 0.11629146 0.12356363 0.13175145
 0.14085492 0.15087406 0.16180885]"
random,0.01,0.0,Direct,MPD,0.08910461939666178,"[0.60236959 0.68746706 0.41964998 0.64422584 0.34499386 0.40949224
 0.32381602 0.6244321  0.60869394 0.35107777 0.33408119 0.45594188
 1.         0.76759391 0.44198096 0.         0.72283773 0.32720761
 0.59748034 0.6351968  0.54697425 0.61394434 0.50095874 0.4088086
 0.63392868 0.60401658 0.77053489 0.45293939 0.53312033 0.09209996
 0.73235688 0.38856646 0.48715703 0.882011   0.34606039 0.19880279
 0.55727809 0.44808318 0.37852706 0.37323324 0.44949992 0.47769383
 0.65380533 0.39425083 0.53228828 0.52874152 0.5469884  0.48830206
 0.52105408 0.72957622 0.99486385 0.21934524 0.72662084 0.59584499
 0.59174669 0.7453256  0.61455946 0.46717509 0.2406798  0.39802737
 0.73557476 0.44007094 0.01181649 0.58034246 0.24465258 0.43845331
 0.50362762 0.50971594 0.42456923 0.22504287 0.32774032 0.09000311
 0.44185537 0.47196883 0.75140674 0.37478638 0.15786666 0.64068928
 0.70727233 0.66480682 0.79451909 0.40042543 0.22145055 0.75540706
 0.35295321 0.27541867 0.55825679 0.52592423 0.51370262 0.30833873
 0.78566069 0.69040184 0.71349113 0.25030381 0.53846454 0.57952994
 0.40182975 0.43462307 0.39939759 0.69082495]","[0.47719529 0.47719695 0.47720053 0.47720619 0.47721426 0.47722533
 0.4772401  0.4772595  0.47728458 0.47731634 0.47735645 0.47740682
 0.47746822 0.47754172 0.47762829 0.47772941 0.47785089 0.47799177
 0.47814637 0.47830766 0.4784598  0.47859175 0.47868467 0.47871888
 0.4787015  0.47866127 0.47868034 0.47880537 0.47907323 0.47944865
 0.47989419 0.48041593 0.48101239 0.48167435 0.48239404 0.48317054
 0.48403166 0.48493191 0.48548424 0.48561396 0.48545097 0.48503046
 0.48445363 0.48383744 0.48320616 0.48247557 0.48183205 0.48141272
 0.48114584 0.480953   0.48051999 0.47990311 0.47936582 0.47915591
 0.47964062 0.48042161 0.48128739 0.48199265 0.48198765 0.48128069
 0.47977748 0.47802752 0.47706585 0.47710718 0.47736784 0.47693618
 0.47583228 0.47390471 0.4715527  0.46894353 0.46592749 0.46312744
 0.46103516 0.45924123 0.45727703 0.45493169 0.4529339  0.45146102
 0.45032703 0.44990264 0.45017451 0.45166164 0.45385414 0.45712912
 0.46070958 0.46472952 0.46818374 0.4717655  0.47544034 0.47979258
 0.48517186 0.49152504 0.4985433  0.50587469 0.51238192 0.51833356
 0.52366152 0.52727875 0.52862606]"
random,0.01,0.0,Gaussian,MPD,0.09520462108469396,"[0.60236959 0.68746706 0.41964998 0.64422584 0.34499386 0.40949224
 0.32381602 0.6244321  0.60869394 0.35107777 0.33408119 0.45594188
 1.         0.76759391 0.44198096 0.         0.72283773 0.32720761
 0.59748034 0.6351968  0.54697425 0.61394434 0.50095874 0.4088086
 0.63392868 0.60401658 0.77053489 0.45293939 0.53312033 0.09209996
 0.73235688 0.38856646 0.48715703 0.882011   0.34606039 0.19880279
 0.55727809 0.44808318 0.37852706 0.37323324 0.44949992 0.47769383
 0.65380533 0.39425083 0.53228828 0.52874152 0.5469884  0.48830206
 0.52105408 0.72957622 0.99486385 0.21934524 0.72662084 0.59584499
 0.59174669 0.7453256  0.61455946 0.46717509 0.2406798  0.39802737
 0.73557476 0.44007094 0.01181649 0.58034246 0.24465258 0.43845331
 0.50362762 0.50971594 0.42456923 0.22504287 0.32774032 0.09000311
 0.44185537 0.47196883 0.75140674 0.37478638 0.15786666 0.64068928
 0.70727233 0.66480682 0.79451909 0.40042543 0.22145055 0.75540706
 0.35295321 0.27541867 0.55825679 0.52592423 0.51370262 0.30833873
 0.78566069 0.69040184 0.71349113 0.25030381 0.53846454 0.57952994
 0.40182975 0.43462307 0.39939759 0.69082495]","[0.55136168 0.57142311 0.5790504  0.57922551 0.57760403 0.57877496
 0.58487459 0.59503773 0.60589346 0.61295102 0.61240255 0.60271109
 0.585415   0.5648488  0.54685983 0.53695403 0.53850332 0.55161979
 0.5730619  0.59717716 0.61753877 0.62872471 0.62768387 0.61432059
 0.59122042 0.56271871 0.53368059 0.5083746  0.48970885 0.47892638
 0.47570307 0.47850515 0.48505419 0.49278874 0.49926679 0.50249085
 0.50114959 0.49476542 0.48373505 0.46925799 0.45316548 0.43767565
 0.4251028  0.41754078 0.41653601 0.42277682 0.43585352 0.45417237
 0.47511085 0.49545975 0.5121094  0.5228287  0.52690375 0.52539526
 0.52086319 0.51657584 0.51541168 0.51880117 0.52608085 0.53452096
 0.5400707  0.5386144  0.52733942 0.50575888 0.47603724 0.44250215
 0.41050538 0.38501464 0.36939532 0.36475297 0.36999374 0.38250615
 0.39916772 0.41730006 0.43525309 0.45246138 0.46901803 0.48498363
 0.49973485 0.51163618 0.51819961 0.51672043 0.50520096 0.48325875
 0.45270527 0.4175816  0.38361291 0.3572243  0.34437571 0.34948595
 0.37463713 0.4191377  0.47943775 0.54937041 0.62072158 0.68415201
 0.73045589 0.75202339 0.74422996 0.7358525 ]"
random,0.01,1.0,Indirect,MSE,0.22169073052147512,"[0.45004069 0.4011959  0.80724096 0.48708569 0.47240154 0.17081964
 0.59101882 0.55485162 0.33999673 0.67044179 0.31750852 0.68245312
 0.44395761 0.13493714 0.76925203 0.28798494 0.79562477 0.92943298
 0.63903726 0.         0.57492285 0.86055627 0.86451903 1.
 0.3873234  0.66467486 0.06994748 0.57799462 0.52921089 0.63604719
 0.3344165  0.5075829  0.12519623 0.71415811 0.49071363 0.30468547
 0.51038735 0.54830768 0.86076309 0.81377419 0.29266996 0.75858507
 0.81477004 0.3330768  0.58691889 0.51549612 0.64655578 0.46223375
 0.5940603  0.53006879 0.46860487 0.4036436  0.6080787  0.73991252
 0.2473126  0.67952305 0.42253821 0.7112905  0.33063679 0.85337372
 0.42244873 0.19213979 0.30404367 0.34670723 0.20069461 0.80406186
 0.69935595 0.70389945 0.55772159 0.31332679 0.8182267  0.15558621
 0.546253   0.82927724 0.68156464 0.57382356 0.88818306 0.57844748
 0.33343261 0.05781855 0.50381076 0.87997475 0.22908852 0.66395055
 0.35210839 0.44781322 0.54130721 0.40325721 0.74798384 0.75652388
 0.20606752 0.67270066 0.81258463 0.68015669 0.89679634 0.46061897
 0.43506512 0.77476482 0.58959584 0.63853035]","[0.03035392 0.06343791 0.09120311 0.11364953 0.13077716 0.142586
 0.14335454 0.13993348 0.13650972 0.1348357  0.13572928 0.1369595
 0.13629092 0.13601027 0.13633357 0.13751793 0.14028383 0.14410888
 0.14747016 0.15066317 0.15308107 0.15398772 0.15226675 0.14778178
 0.14081171 0.13290029 0.12545818 0.11893366 0.11169152 0.10556218
 0.10139913 0.10099217 0.1049697  0.11172338 0.11789813 0.12459498
 0.13266167 0.1401267  0.14715431 0.15065973 0.15039777 0.14765298
 0.14531131 0.14151595 0.13663789 0.13074503 0.12669814 0.12711558
 0.1282399  0.12985345 0.13067183 0.13216152 0.13410445 0.13654279
 0.13715178 0.13614982 0.13392341 0.13036102 0.12649197 0.12190109
 0.11708263 0.11311305 0.11178876 0.1128777  0.11347023 0.11334066
 0.1117143  0.11198975 0.11145738 0.11113277 0.11369145 0.12128534
 0.13243395 0.14767507 0.16131014 0.17002937 0.17413125 0.17076868
 0.15935861 0.14374338 0.12792323 0.11841418 0.11147332 0.10942604
 0.11043585 0.11480297 0.1188349  0.12104489 0.12430645 0.1223407
 0.12079948 0.11927759 0.11476248 0.10871005 0.10667072 0.10553497
 0.10530281 0.10597423 0.10754923]"
